Name,gender_frac
Emma,0.9992027213776975
Isabella,0.9985507246376811
Emily,0.998509772453717
Olivia,0.998187134502924
Ava,0.9990611981458664
Madison,0.9966615907227363
Sophia,0.9992539633198633
Abigail,0.9986747945931619
Elizabeth,0.9989165763813651
Chloe,0.9987321443664948
Samantha,0.9987487711144875
Addison,0.9758642591416387
Natalie,0.9981394437916177
Mia,0.9990172955974843
Alexis,0.805857462872314
Alyssa,0.9985477178423237
Hannah,0.9987455571816851
Ashley,0.9943933142917593
Ella,0.9989309386358777
Grace,0.9980110497237569
Sarah,0.9981207163387132
Taylor,0.8592944089127296
Brianna,0.9983061101028433
Lily,0.9988920349624523
Hailey,0.9991102071946104
Anna,0.9984863079675245
Victoria,0.999297555493116
Kayla,0.9986828625786623
Lillian,0.9986789960369881
Lauren,0.9981424148606811
Kaylee,0.9990471653168176
Allison,0.9969634009908902
Savannah,0.9980433719223871
Nevaeh,0.9941224489795918
Gabriella,1.0
Sofia,0.9988304093567252
Makayla,0.9989914271306102
Avery,0.7693729372937294
Riley,0.5827432733158001
Leah,0.9980479148181012
Julia,0.9983994309087676
Aubrey,0.9762991573033708
Jasmine,0.997828447339848
Audrey,0.9979805397466496
Katherine,0.9988782950084127
Morgan,0.8820707906053589
Brooklyn,0.981313598519889
Destiny,0.9975531714662149
Sydney,0.9848257774447359
Alexa,0.9975157653353717
Kylie,0.9978846153846154
Brooke,0.9982648930017352
Kaitlyn,0.9982425307557118
Evelyn,0.9980403684107387
Layla,0.9983789260385005
Madeline,0.9981347150259068
Kimberly,0.9968899025502799
Zoe,0.9968691296180339
Jessica,0.9987333755541482
Peyton,0.5950434016857467
Alexandra,0.9982668977469671
Claire,0.9984799131378936
Maria,0.9971702220287332
Madelyn,0.9989049496276828
Mackenzie,0.9915705412599822
Arianna,0.9988690341551685
Jocelyn,0.9981710105166895
Amelia,1.0
Angelina,0.9986049755870727
Trinity,0.9859024728449272
Maya,0.9978922716627635
Andrea,0.9930053625553742
Valeria,0.9985744832501782
Rachel,0.9987739087788131
Sophie,1.0
Aaliyah,1.0
Mariah,0.9975247524752475
Vanessa,0.9985130111524163
Gabrielle,0.9923456790123457
Katelyn,1.0
Ariana,0.9984662576687117
Bailey,0.9336049856184084
